"date","value"
"2016-05-20",1627.4699
"2016-05-20",1586.293
"2016-05-20",1502.9001
"2016-05-20",1483.4266
"2016-05-20",1442.5941
"2016-05-20",1381.6071
"2016-05-20",1349.1899
"2016-05-20",1692.7524
"2016-05-20",2273.7043
"2016-05-20",2209.5773
"2016-05-20",2162.6525
"2016-05-20",2090.1713
"2016-05-20",2031.8739
"2016-05-20",2001.3234
"2016-05-21",1960.059
"2016-05-21",1938.3669
"2016-05-21",1902.176
"2016-05-21",1885.5022
"2016-05-21",1860.3716
"2016-05-21",1844.0239
"2016-05-21",1837.7049
"2016-05-21",1852.7161
"2016-05-21",1858.8598
"2016-05-21",1353.0529
"2016-05-21",916.1408
"2016-05-21",1003.7161
"2016-05-21",1095.8895
"2016-05-21",1124.3128
"2016-05-21",1162.516
"2016-05-21",1208.0682
"2016-05-21",1320.0008
"2016-05-21",1459.5849
"2016-05-21",1509.4242
"2016-05-21",1535.344
"2016-05-21",1583.664
"2016-05-21",1581.9906
"2016-05-21",1573.797
"2016-05-21",1545.1197
"2016-05-21",1464.3758
"2016-05-21",1409.9679
"2016-05-21",1383.0536
"2016-05-21",1334.956
"2016-05-21",1327.3394
"2016-05-21",1305.3786
"2016-05-21",1303.6723
"2016-05-21",1306.3322
"2016-05-21",1302.4069
"2016-05-21",1287.6286
"2016-05-21",1308.0969
"2016-05-21",1289.0885
"2016-05-21",1305.9967
"2016-05-21",1299.6502
"2016-05-21",1270.8797
"2016-05-21",1257.2794
"2016-05-21",1270.6525
"2016-05-21",1592.067
"2016-05-21",2196.1922
"2016-05-21",2135.7202
"2016-05-21",2079.9717
"2016-05-21",2004.5681
"2016-05-21",1973.7795
"2016-05-21",1914.8208
"2016-05-22",1887.0022
"2016-05-22",1872.5383
"2016-05-22",1857.2871
"2016-05-22",1845.0718
"2016-05-22",1842.3779
"2016-05-22",1824.659
"2016-05-22",1834.4495
"2016-05-22",1843.3772
"2016-05-22",1842.3446
"2016-05-22",1282.573
"2016-05-22",847.4404
"2016-05-22",814.5063
"2016-05-22",834.5696
"2016-05-22",873.2036
"2016-05-22",915.787
"2016-05-22",983.5004
"2016-05-22",1073.0873
"2016-05-22",1170.0253
"2016-05-22",1241.5216
"2016-05-22",1288.0573
"2016-05-22",1293.3763
"2016-05-22",1288.38
"2016-05-22",1284.7898
"2016-05-22",1276.2346
"2016-05-22",1277.5826
"2016-05-22",1275.4267
"2016-05-22",1263.2957
"2016-05-22",1225.502
"2016-05-22",1252.283
"2016-05-22",1278.6443
"2016-05-22",1279.8824
"2016-05-22",1293.3758
"2016-05-22",1302.789
"2016-05-22",1289.2015
"2016-05-22",1282.7078
"2016-05-22",1274.2548
"2016-05-22",1272.3319
"2016-05-22",1245.3719
"2016-05-22",1237.0529
"2016-05-22",1239.9399
"2016-05-22",1215.577
"2016-05-22",1498.5548
"2016-05-22",2156.5088
"2016-05-22",2126.0462
"2016-05-22",2066.7142
